0.278384,-1.212976,0.846646,0.038343,-0.038617,0.822008,0.566869,-0.015256,-0.078333,0.038709,0.459631,-0.369541,0.120746,0.027102,0.012298,-0.140372,0.441772,-0.396584,-0.058760,-0.032764,0.013935,0.468000,-0.134714,0.059158,0.033767,1.091956,0.013915,0.220021,0.042221,-0.099080,-0.112902,-0.313490,0.897549,-0.004209,0.209708,0.004219
0.278444,-1.212442,0.846496,0.039920,-0.040237,0.822137,0.566462,-0.011071,-0.077977,0.034904,0.464361,-0.379905,0.124130,0.031824,0.013467,-0.142634,0.446193,-0.407071,-0.064830,-0.035769,0.013927,0.468000,-0.139833,0.058072,0.035461,1.107035,0.013901,0.213572,0.044253,-0.106258,-0.111501,-0.320983,0.916018,-0.004743,0.206444,0.006036
0.278464,-1.211894,0.846386,0.041350,-0.041485,0.822270,0.566076,-0.007449,-0.078106,0.031503,0.468492,-0.388591,0.127458,0.036172,0.014191,-0.144211,0.449303,-0.416083,-0.070844,-0.038652,0.013932,0.468000,-0.144184,0.056771,0.037127,1.119744,0.013847,0.206932,0.046148,-0.111778,-0.110254,-0.328039,0.931428,-0.005261,0.202447,0.007854
0.278611,-1.211629,0.846353,0.042416,-0.042265,0.822595,0.565467,-0.005462,-0.078669,0.028313,0.472147,-0.395771,0.130669,0.039264,0.014576,-0.145706,0.451389,-0.423980,-0.076730,-0.041568,0.013893,0.468000,-0.148591,0.055367,0.038754,1.130440,0.013759,0.200231,0.047914,-0.116447,-0.109219,-0.334747,0.944417,-0.005757,0.197994,0.009665
0.278823,-1.211506,0.846359,0.043300,-0.042811,0.823016,0.564746,-0.004291,-0.079450,0.025228,0.475563,-0.402198,0.133822,0.041728,0.014791,-0.147161,0.452963,-0.431320,-0.082551,-0.044499,0.013832,0.468000,-0.153026,0.053910,0.040362,1.140130,0.013655,0.193501,0.049615,-0.120689,-0.108289,-0.341281,0.956196,-0.006241,0.193312,0.011474
0.278782,-1.211228,0.846163,0.044090,-0.042857,0.823162,0.564468,-0.003475,-0.081131,0.022900,0.478885,-0.407621,0.136930,0.043726,0.014015,-0.147956,0.454025,-0.437468,-0.088302,-0.047478,0.014161,0.468000,-0.157428,0.051686,0.041861,1.148072,0.013520,0.187088,0.051143,-0.124066,-0.107666,-0.347466,0.965323,-0.006691,0.188364,0.013247
0.278693,-1.210626,0.846046,0.044783,-0.043884,0.823011,0.564554,-0.001215,-0.080632,0.020164,0.482805,-0.413216,0.140350,0.047001,0.015421,-0.148961,0.455348,-0.443053,-0.094052,-0.050091,0.014638,0.468000,-0.160548,0.050223,0.043538,1.155520,0.013407,0.180806,0.052681,-0.126630,-0.107380,-0.353666,0.972870,-0.007160,0.183228,0.014910
0.278509,-1.209375,0.846088,0.045285,-0.046870,0.822262,0.565365,0.003933,-0.075773,0.016615,0.487921,-0.419153,0.144396,0.052831,0.021191,-0.150385,0.457195,-0.447512,-0.099803,-0.051974,0.015410,0.468000,-0.161101,0.050286,0.045566,1.161983,0.013338,0.174787,0.054237,-0.127568,-0.107768,-0.359898,0.977257,-0.007667,0.177719,0.016353
0.278539,-1.208435,0.846059,0.045987,-0.049024,0.821903,0.565648,0.007891,-0.072669,0.013757,0.492314,-0.424288,0.148148,0.057960,0.025252,-0.151363,0.458115,-0.451318,-0.105490,-0.053753,0.016982,0.468000,-0.162715,0.049275,0.047272,1.166969,0.013198,0.168781,0.055576,-0.127886,-0.107150,-0.365682,0.982113,-0.008095,0.172727,0.017870
0.278675,-1.207651,0.845994,0.046789,-0.050762,0.821738,0.565668,0.011253,-0.070441,0.011244,0.496345,-0.429022,0.151753,0.062739,0.028458,-0.152118,0.458572,-0.454798,-0.111147,-0.055480,0.018955,0.468000,-0.164859,0.047728,0.048816,1.171217,0.013024,0.162782,0.056808,-0.127894,-0.106027,-0.371243,0.987202,-0.008484,0.167993,0.019425
